Datetime,timeelapsed,Azimuth,Altitude,Exposure,Focus,Filter
2024-03-01 14:43:37.757479,0.436,16.61,7.6,1.0,6674,0
2024-03-01 14:43:39.061858,1.304,16.61,7.6,1.0,6674,1
2024-03-01 14:43:40.358420,1.297,16.61,7.6,1.0,6674,2
2024-03-01 14:43:41.612922,1.255,16.61,7.6,1.0,6674,3
2024-03-01 14:43:42.912355,1.299,16.61,7.6,1.0,6674,4
2024-03-01 14:43:44.207748,1.294,16.61,7.6,1.0,6674,5
2024-03-01 14:43:45.459631,1.252,16.61,7.6,1.0,6674,6
2024-03-01 14:43:46.712227,1.253,16.61,7.6,1.0,6674,7
2024-03-01 14:43:48.062090,1.349,16.61,7.6,1.0,6674,8
2024-03-01 14:43:49.309507,1.247,16.61,7.6,1.0,6674,9
